super_bowl,musician,num_songs,performance_rating,musician2,musician3
50,University of California Marching Band,3,9.8,N/A,N/A
50,Mark Ronson,1,9.8,N/A,N/A
50,Bruno Mars,3,9.8,N/A,N/A
50,Beyonce,3,9.8,N/A,N/A
50,Coldplay,6,9.8,N/A,N/A
50,Youth Orchestra Los Angeles,3,9.8,N/A,N/A
51,Lady Gaga,7,9.8,N/A,N/A
52,Justin Timberlake,11,9.1,N/A,N/A
52,University of Minnesota Marching Band,1,9.1,N/A,N/A
53,Maroon 5,9,1,Travis Scott,Big Boi
54,Shakira,7,1,Jennifer Lopez,Bad Bunny
55,The Weeknd,9,1,N/A,N/A
56,Dr. Dre,4,1,Snoop Dogg,Eminem / Mary J. Blige / Kendrick Lamar
57,Rihanna,12,1,N/A,N/A
58,Usher,13,1,N/A,N/A
59,Kendrick Lamar,10,1,N/A,N/A
